,child_friendly,continent,country,max_altitude,min_altitude,resort_name,season,ski_pass_price,url
0,Yes,Europe,Norway,1450.0,620.0,Hemsedal,November - May,46,https://ski-resort-stats.com/Hemsedal
1,Yes,Europe,Norway,1178.0,800.0,Geilosiden Geilo,November - April,44,https://ski-resort-stats.com/Geilo
2,Yes,Europe,Austria,2110.0,650.0,Golm,December - April,48,https://ski-resort-stats.com/Golm
3,Yes,America,Canada,2075.0,1185.0,Red Mountain Resort-Rossland,December - April,60,https://ski-resort-stats.com/Red-Mountain-Resort-Rossland
4,Yes,Europe,Norway,1030.0,195.0,Hafjell,November - April,45,https://ski-resort-stats.com/Hafjell
5,Yes,Europe,Norway,960.0,284.0,Voss,November - May,43,https://ski-resort-stats.com/Voss
6,No,Rest of the world,New Zealand,1980.0,1300.0,Porter,June - September,61,https://ski-resort-stats.com/Porter
7,Yes,America,Chile,2700.0,1600.0,Nevados de Chillán,June - October,57,https://ski-resort-stats.com/nevados-de-chillan
8,Yes,Europe,Germany,1385.0,1030.0,Hochschwarzeck,December - April,22,https://ski-resort-stats.com/hochschwarzeck
9,Yes,Europe,Germany,1554.0,1300.0,Rossfeld - Berchtesgaden - Oberau,December - April,20,https://ski-resort-stats.com/rossfeld-berchtesgaden-oberau
